platform_pair,modality,configuration,gpu_energy_j,mac_energy_j,ratio
NVIDIA H100 vs Mac M2 Ultra,text,Phi-3-mini-4k_max_tokens=128,402.3363,53.1583,7.5686
NVIDIA A100 vs Mac M2 Ultra,text,Phi-3-mini-4k_max_tokens=256,873.859,127.484,6.8547
NVIDIA H100 vs Mac M2 Ultra,text,Phi-3-mini-4k_max_tokens=256,814.739,127.484,6.3909
NVIDIA A100 vs Mac M2 Ultra,text,Phi-3-mini-4k_max_tokens=512,1715.0877,288.2297,5.9504
NVIDIA H100 vs Mac M2 Ultra,text,Phi-3-mini-4k_max_tokens=512,1671.1863,288.2297,5.7981
NVIDIA A100 vs Mac M2 Ultra,text,Phi-3-mini-4k_max_tokens=64,254.2117,24.507,10.373
NVIDIA H100 vs Mac M2 Ultra,text,Phi-3-mini-4k_max_tokens=64,193.4147,24.507,7.8922
NVIDIA A100 vs Mac M2 Ultra,video,AnimateDiff-v1.5_256x256_frames=12_steps=20,648.033,834.846,0.7762
NVIDIA H100 vs Mac M2 Ultra,video,AnimateDiff-v1.5_256x256_frames=12_steps=20,454.195,834.846,0.544
NVIDIA A100 vs Apple M4 Pro,video,AnimateDiff-v1.5_256x256_frames=16_steps=20,729.3463,1026.5697,0.7105
NVIDIA H100 vs Apple M4 Pro,video,AnimateDiff-v1.5_256x256_frames=16_steps=20,564.6237,1026.5697,0.55
NVIDIA A100 vs Mac M2 Ultra,video,AnimateDiff-v1.5_256x256_frames=4_steps=20,351.4713,257.992,1.3623
NVIDIA H100 vs Mac M2 Ultra,video,AnimateDiff-v1.5_256x256_frames=4_steps=20,234.087,257.992,0.9073
NVIDIA A100 vs Mac M2 Ultra,video,AnimateDiff-v1.5_256x256_frames=4_steps=30,500.7417,381.6657,1.312
NVIDIA H100 vs Mac M2 Ultra,video,AnimateDiff-v1.5_256x256_frames=4_steps=30,351.559,381.6657,0.9211
NVIDIA A100 vs Apple M4 Pro,video,AnimateDiff-v1.5_256x256_frames=6_steps=20,356.4763,364.423,0.9782
NVIDIA H100 vs Apple M4 Pro,video,AnimateDiff-v1.5_256x256_frames=6_steps=20,288.4047,364.423,0.7914
NVIDIA A100 vs Mac M2 Ultra,video,AnimateDiff-v1.5_256x256_frames=8_steps=20,489.8753,544.041,0.9004
NVIDIA H100 vs Mac M2 Ultra,video,AnimateDiff-v1.5_256x256_frames=8_steps=20,341.1523,544.041,0.6271
NVIDIA A100 vs Mac M2 Ultra,video,AnimateDiff-v1.5_256x256_frames=8_steps=30,709.0697,804.762,0.8811
NVIDIA H100 vs Mac M2 Ultra,video,AnimateDiff-v1.5_256x256_frames=8_steps=30,510.583,804.762,0.6345
